;Unit;Group;Sample;source;Latitude_1 (wgs84);Longitud_1 (wgs84);BOSL1s;BOSL1s.sd;BOSL1s.se;BOSLF;BOSLF.sd;BOSLF.se;BOSLM;BOSLM.sd;BOSLM.se;BOSLS;BOSLS.sd;BOSLS.se;IRSL1.2s/BOSL1s;IRSL1.2s/BOSL1s.sd;IRSL1.2s/BOSL1s.se;TL110oC;TL110oC.sd;TL110oC.se;TL110pos;TL110pos.sd;TL110pos.se;TL325pos;TL325pos.sd;TL325pos.se
35;Cabecas;Caninde;bp81a;;-5.1900416;-41.7071428;4.584577899;0.210709338;0.105354669;18.50964923;1.525381698;0.762690849;19.1982528;1.321278958;0.660639479;62.29209797;1.529956836;0.764978418;107.8489382;11.77280581;5.886402903;29.13668663;0.87855332;0.43927666;103.85;1.723368794;0.861684397;336.6;2.939387691;1.469693846
47;Poti;Caninde;bp82a;;-5.185406605;-41.71117909;11.98955667;3.995304003;1.997652001;44.71743214;10.19599873;5.097999366;10.64151144;1.832803682;0.916401841;44.64105642;8.451984008;4.225992004;22.56178129;9.0848219;4.54241095;71.10558806;0.811526786;0.405763393;95.75;0.9;0.45;324;3.888444419;1.94422221
48;Poti;Caninde;bp82e;;-4.91824186;-42.17144866;4.345102773;0.454107679;0.22705384;15.4908287;5.088190203;2.544095102;21.26804349;2.380376174;1.190188087;63.24112781;4.177069968;2.088534984;122.6017075;53.08655308;26.54327654;58.128341;3.893733332;1.946866666;98;0;0;339.3;3.746998799;1.8734994
49;Poti;Caninde;bp82f;;-4.917477231;-42.17225367;4.293246117;0.284234664;0.142117332;14.79643003;2.056223376;1.028111688;20.00545525;1.765161453;0.882580727;65.19811472;2.078229702;1.039114851;147.0469877;45.8930448;22.9465224;25.99735788;1.365431313;0.682715656;97.1;1.039230485;0.519615242;336.15;4.956813493;2.478406746
50;Poti;Caninde;bp82g;;-4.91722366;-42.17211961;4.285115771;0.212949432;0.106474716;16.02049338;2.382221879;1.19111094;17.60887525;3.278939756;1.639469878;66.37063137;1.979665986;0.989832993;69.57180117;7.596561541;3.798280771;32.04369714;1.417682162;0.708841081;95.75;1.723368794;0.861684397;340.65;2.7;1.35
51;Poti;Caninde;bp82h;;-4.916000454;-42.17132298;4.591679863;0.521725897;0.260862948;18.6700317;4.344042442;2.172021221;17.56585222;0.939904769;0.469952385;63.76411608;4.870020903;2.435010451;59.44799253;3.014340917;1.507170459;27.66742619;0.718760349;0.359380174;97.1;1.8;0.9;339.3;4.284857057;2.142428529
52;Poti;Caninde;bp82i;;-4.91472395;-42.17074279;16.91103835;16.99005298;8.495026488;34.75663467;18.14941141;9.074705704;18.15162268;12.4295521;6.21477605;47.09174266;25.6876001;12.84380005;23.28404665;27.36987023;13.68493512;71.85176031;3.453495267;1.726747633;96.65;2.264950331;1.132475165;336.15;8.984987479;4.49249374
38;Longa;Caninde;bp83;;-4.82673611;-42.17572224;2.891180365;0.137670408;0.068835204;5.119702732;1.424396802;0.712198401;39.00806017;12.13600679;6.068003395;55.8722371;11.33830728;5.66915364;141.7235375;25.61247509;12.80623754;22.45865484;1.549962003;0.774981002;105.2;6.059702963;3.029851482;342.9;3.746998799;1.8734994
2;Serra Grande;Serra Grande;bp86;;-4.744447215;-40.91933916;8.681025744;0.505003571;0.252501786;33.5510753;2.858044307;1.429022154;8.538887192;1.938778207;0.969389104;57.91003751;2.088339476;1.044169738;16.95678731;1.987592998;0.993796499;62.91261854;1.717348369;0.858674184;94.85;0.9;0.45;334.8;1.469693846;0.734846923
11;Serra Grande;Serra Grande;bp87;;-4.623320634;-41.12959739;3.617793298;0.145422103;0.072711052;10.2268568;2.70342085;1.351710425;22.97544773;2.672275872;1.336137936;66.79769548;4.06326401;2.031632005;123.66088;14.11468353;7.057341764;40.98154518;0.791293884;0.395646942;97.55;1.723368794;0.861684397;326.25;3.991240409;1.995620204
3;Serra Grande;Serra Grande;bp89;;-4.561970719;-41.24842768;4.838275752;0.568317788;0.284158894;19.65642723;2.765865135;1.382932567;20.42762203;2.153686851;1.076843425;59.91595074;4.781236825;2.390618412;85.48060092;7.972772602;3.986386301;60.72420367;1.503506965;0.751753482;94.85;1.723368794;0.861684397;319.5;4.76235236;2.38117618
25;Cabecas;Caninde;bp94;;-4.444920815;-41.55132061;5.814665898;0.679143038;0.339571519;23.49864631;5.665373875;2.832686937;26.33757422;3.790328555;1.895164277;50.16377946;5.034863295;2.517431648;20.90260722;35.65524245;17.82762123;70.06370349;3.326457609;1.663228805;95.3;1.039230485;0.519615242;337.05;5.94726828;2.97363414
36;Cabecas;Caninde;bp96;;-4.433549427;-41.71394012;18.12507724;3.07237158;1.53618579;51.51718019;3.605482086;1.802741043;13.78753105;1.48043192;0.74021596;34.69528876;3.068307825;1.534153912;9.054507557;3.779706085;1.889853042;48.43741294;1.6607742;0.8303871;95.3;1.8;0.9;329.85;6.469157596;3.234578798
14;Pimenteiras;Caninde;bp98;;-4.028648759;-41.48004239;9.464816791;1.525369399;0.762684699;34.53017178;5.067489243;2.533744622;20.12145853;3.359735035;1.679867518;45.34836969;1.847280544;0.923640272;27.91662407;11.16658259;5.583291294;41.98914343;1.858577366;0.929288683;95.3;1.039230485;0.519615242;328.95;3.07408523;1.537042615
